CLAVE|SUBCLAVE|DESCRIPCION
040.000.6039.00|040.000.6039.00|BUPRENORFINA PARCHE CADA PARCHE CONTIENE: BUPRENORFINA 10MG ENVASE CON 4 PARCHES. VELOCIDAD NOMINAL DE LIBERACION: 10µG/H (A TRAVES DE UN PERIODO DE 7 DIAS)
010.000.4031.00|010.000.4031.00|CAPSAICINA CREMA CADA 100 GRAMOS CONTIENE: EXTRACTO DE OLEORESINA DEL CAPSICUM ANNUUNA EQUIVALENTE A 0.035 G DE CAPSAICINA. ENVASE CON 40 G.
010.000.4028.00|010.000.4028.00|CLONIXINATO DE LISINA SOLUCION INYECTABLE CADA AMPOLLETA CONTIENE: CLONIXINATO DE LISINA 100 MG. ENVASE CON 5 AMPOLLETAS DE 2 ML.
010.000.0247.00|010.000.0247.00|DEXMEDETOMIDINA SOLUCION INYECTABLE CADA FRASCO AMPULA CONTIENE: CLORHIDRATO DE DEXMEDETOMIDINA 200 µG. ENVASE CON 1 FRASCO AMPULA.
010.000.0247.01|010.000.0247.01|DEXMEDETOMIDINA SOLUCION INYECTABLE CADA FRASCO AMPULA CONTIENE: CLORHIDRATO DE DEXMEDETOMIDINA 200 µG. ENVASE CON 5 FRASCOS AMPULA.
010.000.0247.02|010.000.0247.02|DEXMEDETOMIDINA SOLUCION INYECTABLE CADA FRASCO AMPULA CONTIENE: CLORHIDRATO DE DEXMEDETOMIDINA 200 µG. ENVASE CON 25 FRASCOS AMPULA.
040.000.0107.00|040.000.0107.00|DEXTROPROPOXIFENO CAPSULA O COMPRIMIDO CADA CAPSULA O COMPRIMIDO CONTIENE: CLORHIDRATO DE DEXTROPROPOXIFENO 65 MG. ENVASE CON 20 CAPSULAS O COMPRIMIDOS.
010.000.4036.00|010.000.4036.00|ETOFENAMATO SOLUCION INYECTABLE CADA AMPOLLETA CONTIENE: ETOFENAMATO 1 G. ENVASE CON UNA AMPOLLETA DE 2 ML
040.000.4027.00|040.000.4027.00|FENTANILO PARCHE CADA PARCHE CONTIENE: FENTANILO 4.2 MG. ENVASE CON 5 PARCHES.
040.000.2113.00|040.000.2113.00|HIDROMORFONA TABLETA CADA TABLETA CONTIENE: CLORHIDRATO DE HIDROMORFONA 2 MG. ENVASE CON 100 TABLETAS.
010.000.3422.00|010.000.3422.00|KETOROLACO SOLUCION INYECTABLE CADA FRASCO AMPULA O AMPOLLETA CONTIENE: KETOROLACO-TROMETAMINA 30 MG. ENVASE CON 3 FRASCOS AMPULA O 3 AMPOLLETAS DE 1 ML.
040.000.5910.00|040.000.5910.00|METADONA SOLUCION CADA MILILITRO CONTIENE:CLORHIDRATO DE METADONA 10 MG. ENVASE CON 30 ML Y GOTERO DE 1 ML.
040.000.2099.00|040.000.2099.00|MORFINA SOLUCION INYECTABLE CADA AMPOLLETA CONTIENE: SULFATO DE MORFINA PENTAHIDRATADA 2.5 MG. ENVASE CON 5 AMPOLLETAS CON 2.5 ML.
040.000.2102.00|040.000.2102.00|MORFINA SOLUCION INYECTABLE CADA AMPOLLETA CONTIENE:SULFATO DE MORFINA PENTAHIDRATADA 50 MG. ENVASE CON 1 AMPOLLETA CON 2.0 ML.
040.000.2103.00|040.000.2103.00|MORFINA SOLUCION INYECTABLE CADA AMPOLLETA CONTIENE: SULFATO DE MORFINA10 MG. ENVASE CON 5 AMPOLLETAS
040.000.2104.00|040.000.2104.00|MORFINA TABLETA O CAPSULA DE LIBERACION PROLONGADA CADA TABLETA O CAPSULA DE LIBERACION PROLONGADA CONTIENE: SULFATO DE MORFINA 100 MG ENVASE CON 14 TABLETAS O CAPSULAS DE LIBERACION PROLONGADA.
040.000.2104.01|040.000.2104.01|MORFINA TABLETA O CAPSULA DE LIBERACION PROLONGADA CADA TABLETA O CAPSULA DE LIBERACION PROLONGADA CONTIENE: SULFATO DE MORFINA 100 MG ENVASE CON 20 TABLETAS O CAPSULAS DE LIBERACION PROLONGADA
040.000.2104.02|040.000.2104.02|MORFINA TABLETA O CAPSULA DE LIBERACION PROLONGADA CADA TABLETA O CAPSULA DE LIBERACION PROLONGADA CONTIENE: SULFATO DE MORFINA 100 MG ENVASE CON 40 TABLETAS O CAPSULAS DE LIBERACION PROLONGADA.
040.000.2105.00|040.000.2105.00|MORFINA TABLETA O CAPSULA DE LIBERACION PROLONGADA CADA TABLETA O CAPSULA DE LIBERACION PROLONGADA CONTIENE: SULFATO DE MORFINA 60 MG. ENVASE CON 14 TABLETAS O CAPSULAS DE LIBERACION PROLONGADA
040.000.2105.01|040.000.2105.01|MORFINA TABLETA O CAPSULA DE LIBERACION PROLONGADA CADA TABLETA O CAPSULA DE LIBERACION PROLONGADA CONTIENE: SULFATO DE MORFINA 60 MG. ENVASE CON 20 TABLETAS O CAPSULAS DE LIBERACION PROLONGADA.
040.000.2105.02|040.000.2105.02|MORFINA TABLETA O CAPSULA DE LIBERACION PROLONGADA CADA TABLETA O CAPSULA DE LIBERACION PROLONGADA CONTIENE: SULFATO DE MORFINA 60 MG. ENVASE CON 40 TABLETAS O CAPSULAS DE LIBERACION PROLONGADA.
040.000.4029.00|040.000.4029.00|MORFINA TABLETA CADA TABLETA CONTIENE: SULFATO DE MORFINA PENTAHIDRATADO EQUIVALENTE A 30 MG DE SULFATO DE MORFINA. ENVASE CON 20 TABLETAS.
040.000.0132.00|040.000.0132.00|NALBUFINA SOLUCION INYECTABLE CADA AMPOLLETA CONTIENE: CLORHIDRATO DE NALBUFINA 10 MG ENVASE CON 3 AMPOLLETAS DE 1 ML.
040.000.0132.01|040.000.0132.01|NALBUFINA SOLUCION INYECTABLE CADA AMPOLLETA CONTIENE: CLORHIDRATO DE NALBUFINA 10 MG ENVASE CON 5 AMPOLLETAS DE 1 ML.
040.000.4032.00|040.000.4032.00|OXICODONA TABLETA DE LIBERACION PROLONGADA CADA TABLETA CONTIENE: CLORHIDRATO DE OXICODONA 20 MG. ENVASE CON 30 TABLETAS DE LIBERACION PROLONGADA.
040.000.4032.01|040.000.4032.01|OXICODONA TABLETA DE LIBERACION PROLONGADA CADA TABLETA CONTIENE: CLORHIDRATO DE OXICODONA 20 MG. ENVASE CON 100 TABLETAS DE LIBERACION PROLONGADA.
040.000.4033.00|040.000.4033.00|OXICODONA TABLETA DE LIBERACION PROLONGADA CADA TABLETA CONTIENE: CLORHIDRATO DE OXICODONA 10 MG. ENVASE CON 30 TABLETAS DE LIBERACION PROLONGADA.
040.000.4033.01|040.000.4033.01|OXICODONA TABLETA DE LIBERACION PROLONGADA CADA TABLETA CONTIENE: CLORHIDRATO DE OXICODONA 10 MG. ENVASE CON 100 TABLETAS DE LIBERACION PROLONGADA.
040.000.6040.00|040.000.6040.00|OXICODONA, CLORHIDRATO DE TABLETA DE LIBERACION PROLONGADA CADA TABLETA CONTIENE: CLORHIDRATO DE OXICODONA 40 MG ENVASE CON 30 TABLETAS DE LIBERACION PROLONGADA
010.000.5720.00|010.000.5720.00|PARACETAMOL SOLUCION INYECTABLE CADA FRASCO AMPULA CONTIENE:PARACETAMOL 500 MG. ENVASE CON UN FRASCO AMPULA CON 50 ML.
010.000.5720.01|010.000.5720.01|PARACETAMOL SOLUCION INYECTABLE CADA FRASCO AMPULA CONTIENE:PARACETAMOL 500 MG. ENVASE CON CUATRO FRASCOS AMPULA CON 50 ML.
010.000.5721.00|010.000.5721.00|PARACETAMOL SOLUCION INYECTABLE CADA FRASCO AMPULA CONTIENE: PARACETAMOL 1 G. ENVASE CON UN FRASCO AMPULA CON 100 ML.
010.000.5721.01|010.000.5721.01|PARACETAMOL SOLUCION INYECTABLE CADA FRASCO AMPULA CONTIENE: PARACETAMOL 1 G. ENVASE CON CUATRO FRASCOS AMPULA CON 100 ML.
040.000.5915.00|040.000.5915.00|TAPENTADOL TABLETA DE LIBERACION PROLONGADA CADA TABLETA DE LIBERACION PROLONGADA CONTIENE: CLORHIDRATO DE TAPENTADOL EQUIVALENTE A 50 MG DE TAPENTADOL ENVASE CON 30 TABLETAS DE LIBERACION PROLONGADA.
040.000.5916.00|040.000.5916.00|TAPENTADOL TABLETA DE LIBERACION PROLONGADA CADA TABLETA DE LIBERACION PROLONGADA CONTIENE: CLORHIDRATO DE TAPENTADOL EQUIVALENTE A 100 MG DE TAPENTADOL. ENVASE CON 30 TABLETAS DE LIBERACION PROLONGADA
040.000.2106.00|040.000.2106.00|TRAMADOL SOLUCION INYECTABLE CADA AMPOLLETA CONTIENE: CLORHIDRATO DE TRAMADOL 100 MG. ENVASE CON 5 AMPOLLETAS DE 2 ML.
040.000.2096.00|040.000.2096.00|TRAMADOL-PARACETAMOL TABLETA CADA TABLETA CONTIENE: CLORHIDRATO DE TRAMADOL 37.5 MG. PARACETAMOL 325.0 MG. ENVASE CON 20 TABLETAS.
010.000.0204.00|010.000.0204.00A|ATROPINA SOLUCION INYECTABLE CADA AMPOLLETA CONTIENE: SULFATO DE ATROPINA 1 MG. ENVASE CON 50 AMPOLLETAS CON 1 ML.
010.000.0261.00|010.000.0261.00A|LIDOCAINA SOLUCION INYECTABLE AL 1% CADA FRASCO AMPULA CONTIENE: CLORHIDRATO DE LIDOCAINA 500 MG. ENVASE CON 5 FRASCOS AMPULA DE 50 ML.
010.000.0262.00|010.000.0262.00|LIDOCAINA SOLUCION INYECTABLE AL 2% CADA FRASCO AMPULA CONTIENE: CLORHIDRATO DE LIDOCAINA 1 G. ENVASE CON 5 FRASCOS AMPULA CON 50 ML.
010.000.0263.00|010.000.0263.00|LIDOCAINA SOLUCION INYECTABLE AL 5% CADA AMPOLLETA CONTIENE: CLORHIDRATO DE LIDOCAINA 100 MG. GLUCOSA MONOHIDRATADA 150 MG. ENVASE CON 50 AMPOLLETAS CON 2 ML.
010.000.0264.00|010.000.0264.00|LIDOCAINA SOLUCION AL 10% CADA 100 ML CONTIENE: LIDOCAINA 10.0 G. ENVASE CON 115 ML CON ATOMIZADOR MANUAL.
010.000.0267.00|010.000.0267.00|LIDOCAINA, CLORHIDRATO DE, EPINEFRINA SOLUCION INYECTABLE AL 2% CADA CARTUCHO DENTAL CONTIENE: CLORHIDRATO DE LIDOCAINA 36 MG EPINEFRINA (1:100000) 0.018 MG ENVASE CON 50 CARTUCHOS DENTALES CON 1.8 ML.
010.000.0265.00|010.000.0265.00|LIDOCAINA, EPINEFRINA SOLUCION INYECTABLE AL 2% CADA FRASCO AMPULA CONTIENE: CLORHIDRATO DE LIDOCAINA 1 G. EPINEFRINA (1:200000) 0.25 MG. ENVASE CON 5 FRASCOS AMPULA CON 50 ML.
010.000.4059.00|010.000.4059.00|ROCURONIO, BROMURO DE SOLUCION INYECTABLE CADA AMPOLLETA O FRASCO AMPULA CONTIENE: BROMURO DE ROCURONIO 50 MG. ENVASE CON 12 AMPOLLETAS O FRASCOS AMPULA DE 5 ML.
040.000.4054.00|040.000.4054.00A|FLUMAZENIL SOLUCION INYECTABLE CADA AMPOLLETA CONTIENE: FLUMAZENIL 0.5 MG. ENVASE CON UNA AMPOLLETA CON 5 ML (0.1 MG/ML).
010.000.0271.00|010.000.0271.00|BUPIVACAINA SOLUCION INYECTABLE CADA ML CONTIENE: CLORHIDRATO DE BUPIVACAINA 5 MG. ENVASE CON 30 ML.
010.000.4055.00|010.000.4055.00|BUPIVACAINA SOLUCION INYECTABLE CADA AMPOLLETA CONTIENE: CLORHIDRATO DE BUPIVACAINA 15 MG. DEXTROSA ANHIDRA O GLUCOSA ANHIDRA 240 MG. O GLUCOSA MONOHIDRATADA EQUIVALENTE A 240 MG DE GLUCOSA ANHIDRA. ENVASE CON 5 AMPOLLETAS CON 3 ML.
010.000.4061.00|010.000.4061.00|CISATRACURIO, BESILATO DE SOLUCION INYECTABLE CADA ML CONTIENE: BESILATO DE CISATRACURIO EQUIVALENTE A 2 MG DE CISATRACURIO ENVASE CON 1 AMPOLLETA CON 5 ML.
010.000.0234.00|010.000.0234.00|DESFLURANO LIQUIDO CADA ENVASE CONTIENE: DESFLURANO 240 ML. ENVASE CON 240 ML.
040.000.0202.00|040.000.0202.00A|DIAZEPAM SOLUCION INYECTABLE CADA AMPOLLETA CONTIENE: DIAZEPAM 10 MG. ENVASE CON 50 AMPOLLETAS DE 2 ML.
040.000.2107.00|040.000.2107.00A|EFEDRINA SOLUCION INYECTABLE CADA AMPOLLETA CONTIENE: SULFATO DE EFEDRINA 50 MG. ENVASE CON 100 AMPOLLETAS CON 2 ML. (25 MG/ML).
040.000.0243.00|040.000.0243.00|ETOMIDATO SOLUCION INYECTABLE CADA AMPOLLETA CONTIENE: ETOMIDATO 20 MG. ENVASE CON 5 AMPOLLETAS CON 10 ML.
040.000.0242.00|040.000.0242.00|FENTANILO SOLUCION INYECTABLE CADA AMPOLLETA O FRASCO AMPULA CONTIENE: CITRATO DE FENTANILO EQUIVALENTE A 0.5 MG DE FENTANILO ENVASE CON 6 AMPOLLETAS O FRASCOS AMPULA CON 10 ML.
040.000.0206.00|040.000.0206.00|FLUNITRAZEPAM SOLUCION INYECTABLE CADA AMPOLLETA CONTIENE: FLUNITRAZEPAM 2 MG. ENVASE CON 3 AMPOLLETAS Y 3 AMPOLLETAS CON DILUYENTE.
040.000.0206.01|040.000.0206.01|FLUNITRAZEPAM SOLUCION INYECTABLE CADA AMPOLLETA CONTIENE: FLUNITRAZEPAM 2 MG. ENVASE CON 5 AMPOLLETAS Y 5 AMPOLLETAS CON DILUYENTE.
010.000.0232.00|010.000.0232.00|ISOFLURANO LIQUIDO O SOLUCION CADA ENVASE CONTIENE: ISOFLURANO 100 ML. ENVASE CON 100 ML.
040.000.0226.00|040.000.0226.00|KETAMINA SOLUCION INYECTABLE CADA FRASCO AMPULA CONTIENE: CLORHIDRATO DE KETAMINA EQUIVALENTE A 500 MG DE KETAMINA. ENVASE CON UN FRASCO AMPULA DE 10 ML.
040.000.2108.00|040.000.2108.00|MIDAZOLAM SOLUCION INYECTABLE CADA AMPOLLETA CONTIENE: CLORHIDRATO DE MIDAZOLAM EQUIVALENTE A 5 MG DE MIDAZOLAM. O MIDAZOLAM 5 MG. ENVASE CON 5 AMPOLLETAS CON 5 ML.
040.000.2109.00|040.000.2109.00|MIDAZOLAM TABLETA CADA TABLETA CONTIENE: MALEATO DE MIDAZOLAM EQUIVALENTE A 7.5 MG DE MIDAZOLAM. ENVASE CON 30 TABLETAS.
040.000.4057.00|040.000.4057.00|MIDAZOLAM SOLUCION INYECTABLE CADA AMPOLLETA CONTIENE: CLORHIDRATO DE MIDAZOLAM EQUIVALENTE A 15 MG DE MIDAZOLAM. O MIDAZOLAM 15 MG. ENVASE CON 5 AMPOLLETAS CON 3 ML.
040.000.4060.00|040.000.4060.00|MIDAZOLAM SOLUCION INYECTABLE CADA AMPOLLETA CONTIENE: CLORHIDRATO DE MIDAZOLAM EQUIVALENTE A 50 MG DE MIDAZOLAM. O MIDAZOLAM 50 MG. ENVASE CON 5 AMPOLLETAS CON 10 ML
010.000.0302.00|010.000.0302.00|NALOXONA SOLUCION INYECTABLE CADA AMPOLLETA CONTIENE: CLORHIDRATO DE NALOXONA 0.4 MG. ENVASE CON 10 AMPOLLETAS CON 1 ML.
010.000.0291.00|010.000.0291.00A|NEOSTIGMINA SOLUCION INYECTABLE CADA AMPOLLETA CONTIENE: METILSULFATO DE NEOSTIGMINA 0.5 MG. ENVASE CON 6 AMPOLLETAS CON 1 ML.
010.000.2110.00|010.000.2110.00|NEOSTIGMINA TABLETA CADA TABLETA CONTIENE: BROMURO DE NEOSTIGMINA 15 MG. ENVASE CON 20 TABLETAS.
010.000.4058.00|010.000.4058.00|PRILOCAINA, FELIPRESINA SOLUCION INYECTABLE CADA CARTUCHO DENTAL CONTIENE: CLORHIDRATO DE PRILOCAINA 54 MG. FELIPRESINA 0.054 UI. ENVASE CON 1 CARTUCHO CON 1.8 ML.
010.000.4058.01|010.000.4058.01|PRILOCAINA, FELIPRESINA SOLUCION INYECTABLE CADA CARTUCHO DENTAL CONTIENE: CLORHIDRATO DE PRILOCAINA 54 MG. FELIPRESINA 0.054 UI. ENVASE CON 50 CARTUCHOS CON 1.8 ML.
010.000.0244.00|010.000.0244.00|PROPOFOL EMULSION INYECTABLE CADA AMPOLLETA O FRASCO AMPULA CONTIENE: PROPOFOL 200 MG. EN SOLUCION CON ACEITE DE SOYA, FOSFATIDO DE HUEVO O LECITINA DE HUEVO Y GLICEROL. ENVASE CON 5 AMPOLLETAS O FRASCOS AMPULA DE 20 ML.
010.000.0245.00|010.000.0245.00|PROPOFOL EMULSION INYECTABLE CADA FRASCO AMPULA O JERINGA CONTIENE: PROPOFOL 500 MG. EN SOLUCION CON ACEITE DE SOYA, FOSFATIDO DE HUEVO O LECITINA DE HUEVO Y GLICEROL. ENVASE CON UN FRASCO AMPULA O JERINGA DE 50 ML.
010.000.0246.00|010.000.0246.00|PROPOFOL EMULSION INYECTABLE CADA AMPOLLETA O FRASCO AMPULA CONTIENE: PROPOFOL 200 MG. EN EMULSION CON EDETATO DISODICO (DIHIDRATADO). ENVASE CON 5 AMPOLLETAS O FRASCOS AMPULA DE 20 ML.
040.000.0248.00|040.000.0248.00|REMIFENTANILO EMULSION INYECTABLE CADA FRASCO AMPULA CONTIENE: CLORHIDRATO DE REMIFENTANILO EQUIVALENTE A 2 MG DE REMIFENTANILO. ENVASE CON 5 FRASCOS AMPULA.
010.000.0269.00|010.000.0269.00|ROPIVACAINA SOLUCION INYECTABLE CADA AMPOLLETA CONTIENE: CLORHIDRATO DE ROPIVACAINA MONOHIDRATADA EQUIVALENTE A 40 MG DE CLORHIDRATO DE ROPIVACAINA. ENVASE CON 5 AMPOLLETAS CON 20 ML.
010.000.0270.00|010.000.0270.00|ROPIVACAINA SOLUCION INYECTABLE CADA AMPOLLETA CONTIENE: CLORHIDRATO DE ROPIVACAINA MONOHIDRATADA EQUIVALENTE A 150 MG DE CLORHIDRATO DE ROPIVACAINA. ENVASE CON 5 AMPOLLETAS CON 20 ML.
010.000.0233.00|010.000.0233.00|SEVOFLURANO LIQUIDO O SOLUCION CADA ENVASE CONTIENE: SEVOFLURANO 250 ML. ENVASE CON 250 ML DE LIQUIDO O SOLUCION.
010.000.0252.00|010.000.0252.00|SUXAMETONIO, CLORURO DE LIQUIDO O SOLUCION CADA AMPOLLETA CONTIENE: CLORURO DE SUXAMETONIO 40 MG. ENVASE CON 5 AMPOLLETAS CON 2 ML.
040.000.0221.00|040.000.0221.00|TIOPENTAL SODICO SOLUCION INYECTABLE CADA FRASCO AMPULA CON POLVO CONTIENE: TIOPENTAL SODICO 0.5 G. ENVASE CON FRASCO AMPULA Y DILUYENTE CON 20 ML.
010.000.0254.00|010.000.0254.00|VECURONIO SOLUCION INYECTABLE CADA FRASCO AMPULA CON LIOFILIZADO CONTIENE: BROMURO DE VECURONIO 4 MG. ENVASE CON 50 FRASCOS AMPULA Y 50 AMPOLLETAS CON 1 ML DE DILUYENTE (4 MG/ML).
010.000.2111.00|010.000.2111.00|AMLODIPINO TABLETA O CAPSULA CADA TABLETA O CAPSULA CONTIENE: BESILATO O MALEATO DE AMLODIPINO EQUIVALENTE A 5 MG DE AMLODIPINO. ENVASE CON 10 TABLETAS O CAPSULAS.
010.000.2111.01|010.000.2111.01|AMLODIPINO TABLETA O CAPSULA CADA TABLETA O CAPSULA CONTIENE: BESILATO O MALEATO DE AMLODIPINO EQUIVALENTE A 5 MG DE AMLODIPINO. ENVASE CON 30 TABLETAS O CAPSULAS.
010.000.0574.00|010.000.0574.00|CAPTOPRIL TABLETA CADA TABLETA CONTIENE: CAPTOPRIL 25 MG. ENVASE CON 30 TABLETAS.
010.000.0561.00|010.000.0561.00A|CLORTALIDONA TABLETA CADA TABLETA CONTIENE: CLORTALIDONA 50 MG. ENVASE CON 20 TABLETAS.
010.000.0502.00|010.000.0502.00|DIGOXINA TABLETA CADA TABLETA CONTIENE: DIGOXINA 0.25 MG. ENVASE CON 20 TABLETAS.
010.000.0503.00|010.000.0503.00|DIGOXINA ELIXIR CADA ML CONTIENE: DIGOXINA 0.05 MG. ENVASE CONTENIENDO 60 ML CON GOTERO CALIBRADO DE 1 ML INTEGRADO O ADJUNTO AL FRASCO Y LE SIRVE DE TAPA.
010.000.0504.00|010.000.0504.00|DIGOXINA SOLUCION INYECTABLE CADA AMPOLLETA CONTIENE: DIGOXINA 0.5 MG. ENVASE CON 6 AMPOLLETAS DE 2 ML.
010.000.2501.00|010.000.2501.00A|ENALAPRIL CAPSULA O TABLETA CADA CAPSULA O TABLETA CONTIENE: MALEATO DE ENALAPRIL 10 MG. ENVASE CON 30 CAPSULAS O TABLETAS.
010.000.0611.00|010.000.0611.00|EPINEFRINA SOLUCION INYECTABLE CADA AMPOLLETA CONTIENE: EPINEFRINA 1 MG (1:1 000). ENVASE CON 50 AMPOLLETAS CON 1 ML.
010.000.2114.00|010.000.2114.00|FELODIPINO TABLETA DE LIBERACION PROLONGADA CADA TABLETA CONTIENE: FELODIPINO 5 MG. ENVASE CON 10 TABLETAS DE LIBERACION PROLONGADA.
010.000.0570.00|010.000.0570.00|HIDRALAZINA TABLETA CADA TABLETA CONTIENE: CLORHIDRATO DE HIDRALAZINA 10 MG. ENVASE CON 20 TABLETAS.
